2015/07/10,   26,   40,   10
2015/07/11,   28,   50,   10
2015/07/12,   47,   60,   40
2015/07/13,   47,   60,   40
2015/07/14,   38,   50,   10
2015/07/15,   28,   40,   10
2015/07/16,   33,   50,   10
2015/07/17,   47,   70,   10
2015/07/18,   33,   50,   20
2015/07/19,   34,   50,   20
2015/07/20,   32,   50,   10
2015/07/21,   33,   50,   10
2015/07/22,   31,   50,   10
2015/07/23,   23,   30,   10
2015/07/24,   20,   50,   10
2015/07/25,   61,   90,   30
2015/07/26,   41,   60,   20
2015/07/27,   67,   90,   50
2015/07/28,   59,   80,   40
2015/07/29,   49,   70,   20
2015/07/30,   27,   40,   10
2015/07/31,   23,   40,    0
2015/08/01,   21,   30,    0
2015/08/02,   21,   40,    0
2015/08/03,   36,   70,   10
2015/08/04,   27,   40,   10
2015/08/05,   29,   40,   10
2015/08/06,   32,   60,   10
2015/08/07,   29,   50,   10
2015/08/08,   20,   30,   10
2015/08/09,   23,   40,   10
2015/08/10,   13,   20,    0
2015/08/11,   25,   40,   10
2015/08/12,   43,   50,   30
2015/08/13,   45,   70,   20
2015/08/14,   32,   50,   10
2015/08/15,   27,   50,   10
2015/08/16,   29,   40,   20
2015/08/17,   33,   40,   20
2015/08/18,   34,   50,   10
2015/08/19,   24,   40,   10
2015/08/20,   18,   30,   10
2015/08/21,   21,   40,   10
2015/08/22,   33,   50,   20
2015/08/23,   46,   70,   10
2015/08/24,   60,  100,   20
2015/08/25,   70,   90,   50
2015/08/26,   59,   80,   30
2015/08/27,   41,   70,   20
2015/08/28,   23,   40,   10
2015/08/29,   20,   30,   10
2015/08/30,   31,   60,   10
2015/08/31,   43,   70,   20
2015/09/01,   27,   40,   20
2015/09/02,   25,   50,   10
2015/09/03,   28,   50,   10
2015/09/04,   43,   60,   30
2015/09/05,   34,   50,   20
2015/09/06,   30,   50,   20
2015/09/07,   24,   30,   10
2015/09/08,   18,   20,   10
2015/09/09,   34,   50,   20
2015/09/10,   43,   60,   30
2015/09/11,   30,   50,   20
2015/09/12,   27,   50,   20
2015/09/13,   30,   60,   10
2015/09/14,   52,   80,   10
2015/09/15,   63,  100,   20
2015/09/16,   52,   90,   30
2015/09/17,   66,  100,   30
2015/09/18,   47,   80,   30
2015/09/19,   24,   40,   10
2015/09/20,   21,   30,   10
2015/09/21,   36,   40,   30
2015/09/22,   36,   50,   20
2015/09/23,   35,   50,   20
2015/09/24,   48,   80,   30
2015/09/25,   27,   40,   10
2015/09/26,   28,   50,    0
2015/09/27,   40,   70,   30
2015/09/28,   39,   60,   20
2015/09/29,   48,   70,   30
2015/09/30,   49,   80,   30
2015/10/01,   45,   80,   20
2015/10/02,   34,   50,   10
2015/10/03,   23,   40,   10
2015/10/04,   25,   30,   10
2015/10/05,   27,   50,   10
2015/10/06,   38,   60,   20
2015/10/07,   49,   70,   30
2015/10/08,   22,   40,    0
2015/10/09,   15,   30,    0
2015/10/10,   43,   60,   30
2015/10/11,   48,   80,   30
2015/10/12,   28,   40,   10
2015/10/13,   38,   60,    0
2015/10/14,   30,   50,   10
2015/10/15,   27,   40,   10
2015/10/16,   27,   40,   10
2015/10/17,   18,   30,    0
2015/10/18,   11,   20,    0
2015/10/19,   15,   30,    0
2015/10/20,   18,   30,   10
2015/10/21,   40,   60,   10
2015/10/22,   33,   50,   10
2015/10/23,   14,   20,   10
2015/10/24,   22,   40,   10
2015/10/25,   25,   30,   10
2015/10/26,   29,   40,   10
2015/10/27,   23,   30,   10
2015/10/28,   27,   40,   20
2015/10/29,   28,   50,   20
2015/10/30,   28,   40,   20
2015/10/31,   17,   30,    0
2015/11/01,   17,   30,   10
2015/11/02,   18,   40,    0
2015/11/03,   16,   30,    0
2015/11/04,   43,   70,   20
2015/11/05,   34,   60,   20
2015/11/06,   55,   60,   50
2015/11/07,   52,   70,   40
2015/11/08,   34,   70,   10
2015/11/09,   65,   80,   50
2015/11/10,   70,   80,   50
2015/11/11,   57,   70,   40
2015/11/12,   35,   50,   20
2015/11/13,   59,   80,   50
2015/11/14,   65,   90,   50
2015/11/15,   83,  100,   60
2015/11/16,   65,   80,   50
2015/11/17,   79,  110,   50
2015/11/18,   84,  110,   60
2015/11/19,   57,   80,   20
2015/11/20,   41,   50,   30
2015/11/21,   40,   60,   10
2015/11/22,   30,   40,   20
2015/11/23,   28,   40,   10
2015/11/24,   69,  100,   50
2015/11/25,   30,   40,   20
2015/11/26,   23,   40,   10
2015/11/27,   52,   80,   30
2015/11/28,   69,  110,   40
2015/11/29,   93,  120,   70
2015/11/30,   73,  110,   30
2015/12/01,   43,   80,   10
2015/12/02,   44,   60,   30
2015/12/03,   44,   70,   30
2015/12/04,   55,   80,   30
2015/12/05,   78,   90,   60
2015/12/06,   75,   90,   50
2015/12/07,   36,   60,   20
2015/12/08,   46,   70,   30
2015/12/09,   39,   60,   30
2015/12/10,   61,   80,   50
2015/12/11,   55,   70,   30
2015/12/12,   49,   80,   30
2015/12/13,   33,   90,   10
2015/12/14,   29,   50,   10
2015/12/15,   28,   40,   10
2015/12/16,   48,   60,   30
2015/12/17,   60,   70,   40
2015/12/18,   48,   70,   30
2015/12/19,   56,   80,   40
2015/12/20,   67,   80,   40
2015/12/21,   92,  130,   70
2015/12/22,   98,  120,   70
2015/12/23,   69,  110,   40
2015/12/24,   77,  110,   40
2015/12/25,   61,  100,   20
2015/12/26,   76,   90,   60
2015/12/27,   69,   90,   40
2015/12/28,   28,   50,   20
2015/12/29,   47,   70,   30
2015/12/30,   41,   70,   20
2015/12/31,   63,   80,   40
